product_id,product_name,category,base_price,seasonality_strength,trend_strength
1102,Snacks_Biscuits_1102,Snacks,20.58,0.281,-0.0009
1103,Dairy_Milk_1103,Dairy,37.0,0.28,-0.0006
1104,Grocery_Pasta_1104,Grocery,20.43,0.276,-0.0035
1106,Snacks_Chocolates_1106,Snacks,10.76,0.265,-0.0021
1107,Electronics_Mobile Accessories_1107,Electronics,155.01,0.283,-0.0037
1108,Dairy_Butter_1108,Dairy,37.65,0.281,-0.0023
1109,Electronics_Batteries_1109,Electronics,35.03,0.31,-0.004
1111,Snacks_Nuts_1111,Snacks,12.21,0.301,-0.0015
1114,Electronics_Batteries_1114,Electronics,145.35,0.273,-0.0026
1115,Household_Paper Products_1115,Household,42.57,0.307,-0.0025
1117,Snacks_Crackers_1117,Snacks,9.58,0.298,-0.003
1118,Dairy_Milk_1118,Dairy,22.87,0.259,-0.0038
1119,Grocery_Pasta_1119,Grocery,34.83,0.26,-0.0034
1120,Grocery_Cereals_1120,Grocery,44.47,0.273,-0.002
1121,Grocery_Rice_1121,Grocery,30.76,0.315,-0.0053
1122,Dairy_Yogurt_1122,Dairy,30.59,0.321,-0.0037
1123,Beverages_Water_1123,Beverages,9.38,0.301,-0.0017
1124,Dairy_Cheese_1124,Dairy,22.56,0.25,-0.0026
1125,Personal Care_Toothpaste_1125,Personal Care,26.06,0.294,-0.0006
1126,Beverages_Soft Drinks_1126,Beverages,24.83,0.294,-0.0015
1127,Grocery_Rice_1127,Grocery,19.53,0.303,-0.0059
1128,Grocery_Spices_1128,Grocery,25.88,0.262,-0.0018
1129,Electronics_Chargers_1129,Electronics,147.94,0.28,-0.0015
1130,Snacks_Nuts_1130,Snacks,16.27,0.307,-0.0035
1132,Dairy_Butter_1132,Dairy,33.53,0.272,-0.0031
1133,Electronics_Mobile Accessories_1133,Electronics,32.76,0.282,-0.0013
1134,Household_Paper Products_1134,Household,13.37,0.262,-0.0011
1135,Household_Trash Bags_1135,Household,48.71,0.252,-0.002
1137,Snacks_Nuts_1137,Snacks,6.51,0.27,-0.0016
1138,Household_Cleaning Supplies_1138,Household,44.55,0.298,-0.0006
1139,Dairy_Cream_1139,Dairy,21.82,0.296,-0.0046
1141,Beverages_Coffee_1141,Beverages,8.14,0.272,-0.0031
1143,Dairy_Cheese_1143,Dairy,16.53,0.308,-0.0014
1144,Household_Detergent_1144,Household,14.06,0.251,-0.0023
1147,Snacks_Crackers_1147,Snacks,20.16,0.27,-0.0021
1148,Household_Cleaning Supplies_1148,Household,51.59,0.264,-0.0015
1150,Electronics_Batteries_1150,Electronics,128.06,0.284,-0.0027
1151,Electronics_Cables_1151,Electronics,138.35,0.262,-0.0029
1152,Personal Care_Toothpaste_1152,Personal Care,52.01,0.263,-0.0028
1153,Electronics_Batteries_1153,Electronics,153.71,0.308,-0.0039
1155,Electronics_Mobile Accessories_1155,Electronics,21.92,0.273,-0.0026
1156,Personal Care_Soap_1156,Personal Care,32.94,0.27,-0.0023
1157,Household_Cleaning Supplies_1157,Household,14.11,0.26,-0.0005
1158,Snacks_Crackers_1158,Snacks,7.0,0.259,-0.0018
1159,Electronics_Batteries_1159,Electronics,171.42,0.26,-0.0026
1161,Electronics_Batteries_1161,Electronics,79.44,0.283,-0.0009
1163,Household_Paper Products_1163,Household,35.67,0.264,-0.0008
1164,Electronics_Cables_1164,Electronics,189.66,0.276,-0.0
1165,Personal Care_Skincare_1165,Personal Care,16.6,0.26,-0.0021
1166,Grocery_Spices_1166,Grocery,47.26,0.271,-0.0008
1167,Grocery_Rice_1167,Grocery,42.42,0.301,-0.0029
1168,Snacks_Chips_1168,Snacks,18.53,0.29,-0.0035
1169,Beverages_Soft Drinks_1169,Beverages,5.92,0.262,-0.0022
1170,Dairy_Yogurt_1170,Dairy,20.31,0.295,-0.001
1172,Electronics_Chargers_1172,Electronics,109.5,0.324,-0.0013
1175,Household_Trash Bags_1175,Household,57.53,0.269,-0.0006
1176,Snacks_Chocolates_1176,Snacks,6.58,0.278,-0.0012
1178,Beverages_Soft Drinks_1178,Beverages,23.12,0.27,-0.0024
1179,Household_Cleaning Supplies_1179,Household,27.55,0.256,-0.0026
1180,Grocery_Spices_1180,Grocery,8.04,0.242,-0.0018
1182,Beverages_Tea_1182,Beverages,13.59,0.267,-0.0013
1183,Electronics_Batteries_1183,Electronics,128.29,0.307,-0.0018
1184,Snacks_Chocolates_1184,Snacks,21.57,0.291,-0.0011
1185,Personal Care_Toothpaste_1185,Personal Care,74.16,0.265,-0.0018
1186,Dairy_Yogurt_1186,Dairy,5.25,0.264,-0.0035
1188,Grocery_Spices_1188,Grocery,19.43,0.3,-0.001
1190,Dairy_Milk_1190,Dairy,19.65,0.262,-0.0029
1193,Beverages_Tea_1193,Beverages,13.32,0.288,-0.002
1194,Dairy_Butter_1194,Dairy,9.24,0.257,-0.0021
1195,Snacks_Chocolates_1195,Snacks,20.13,0.265,-0.0006
1196,Grocery_Pasta_1196,Grocery,29.1,0.305,-0.0035
1197,Electronics_Mobile Accessories_1197,Electronics,17.04,0.293,-0.0013
1198,Dairy_Cheese_1198,Dairy,24.9,0.315,-0.0015
1199,Electronics_Cables_1199,Electronics,223.73,0.297,-0.0045
